id,area_building,area_rtu,rtu_n,hp_list,hp
63fb5703-ada1-4e49-a669-b86c2fb4efff,27961,290,4,"['3.00', '5.00', '7.50', '0.00']",15.5
f3425e4b-1a78-46db-8558-dadba7fe890d,6735,127,4,"['3.00', '3.00', '3.00', '3.00']",12.0
251e1bff-a4a3-4646-93e8-7c69f995ece4,6446,116,3,"['5.00', '3.00', '1.00']",9.0
4976bbb0-e092-489c-afc8-7d248cea32a6,8443,98,4,"['2.90', '2.90', '2.90', '2.90']",11.6
843fe3bf-5806-4222-9710-2c8c9192cc6a,51973,447,13,"['3.00', '0.00', '1.00', '3.00', '3.00', '3.00', '3.00', '3.00', '1.00', '0.00', '0.00', '0.00', '0.00']",20.0
fce9c0b3-31fe-4f8c-a554-e66ea8e41051,8004,171,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
821fc055-7491-45a2-9cb8-a1bd59d5119d,17308,251,9,"['2.40', '2.40', '2.40', '2.40', '2.40', '2.40', '2.40', '2.40', '2.40']",21.6
a11dbe72-b0f3-4481-a8b4-f7fb982e6cbb,7312,71,2,"['5.00', '0.00']",5.0
9fdefd9f-8fe4-436b-b66f-622fdbbf39d3,21944,246,4,"['5.00', '2.00', '5.00', '5.00']",17.0
90a50c68-267e-4ecd-8805-8a0c6822891a,5685,56,4,"['2.40', '2.40', '2.40', '2.40']",9.6
cdae385a-5e18-4449-9bae-79b818396e5e,8679,120,5,"['2.40', '2.90', '2.40', '2.40', '2.40']",12.5
878b26a8-c877-4e0c-9df2-bd698c16d53a,8578,145,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
48277650-570b-4078-9d05-48d962fb0a33,7085,106,4,"['2.40', '2.40', '2.40', '2.40']",9.6
f76c1f2a-49a8-4941-baa0-99cfb8282868,52883,322,5,"['10.00', '0.50', '10.00', '2.00', '7.50']",30.0
22158c00-1bbe-468d-aef4-75cdbda2c257,8819,109,4,"['2.90', '2.90', '2.90', '2.90']",11.6
55061404-8e83-46fe-a52e-fde959fd8872,48765,231,5,"['3.70', '2.00', '15.00', '2.00', '0.00']",22.7
f7801758-9653-4a73-95dc-229f019442db,5591,75,3,"['1.50', '1.50', '1.50']",4.5
8534575e-41d0-4be8-ae85-8fac774c30b0,47978,270,5,"['5.00', '0.50', '0.50', '0.50', '0.50']",7.0
8bcccc22-29c7-4a4e-807a-319fd2bf7b81,8811,92,1,['5.00'],5.0
4c67d841-4299-47c5-ba43-8a7e5ed811a5,7390,97,4,"['2.40', '2.40', '2.40', '2.40']",9.6
34e60c5a-ca56-4b79-8c7e-c9d6df28ab50,6690,143,4,"['2.40', '2.40', '2.40', '2.40']",9.6
98b63a5c-6c7b-44e7-9803-a12d6efcfc42,12380,203,6,"['2.40', '2.40', '2.40', '2.40', '3.70', '3.70']",17.0
b2c2f230-ada9-435e-a63b-adbc1ea66c5a,7294,99,4,"['2.90', '2.90', '2.90', '2.90']",11.6
71dcdf8e-4a43-407f-b045-391abe643d50,48041,572,9,"['3.00', '0.00', '2.00', '0.33', '0.33', '0.00', '0.00', '0.00', '0.00']",5.66
ec94f9a9-677b-4674-8e2d-b23ef4b461de,7683,133,5,"['2.90', '2.90', '2.90', '2.90', '2.90']",14.5
c74d9493-eb28-4c4b-a916-ea9cbaf33f05,3970,94,1,['7.50'],7.5
16254aab-aa6c-4956-a339-8c577626f10a,33870,171,2,"['5.00', '5.00']",10.0
32c6f75c-54b3-45a6-81b3-f7fea2934891,8870,127,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
605a9809-cd2f-4b8e-a580-1567199455be,62671,135,4,"['1.50', '1.00', '3.00', '3.00']",8.5
c52f4843-a802-40a6-b94d-611961459dab,14709,289,8,"['1.00', '2.00', '2.00', '2.00', '2.00', '2.00', '2.00', '2.00']",15.0
dd9569d9-a605-430b-8ac3-bef2b9a90c62,39372,400,8,"['2.40', '2.40', '10.00', '0.00', '0.00', '0.00', '0.00', '0.00']",14.8
73a6e82e-d7b2-4418-9785-ad228ec1dfb9,8120,69,2,"['2.90', '3.70']",6.6
52434ac4-5b0d-40a7-a824-8703783783ab,69764,1926,16,"['1.00', '7.50', '5.00', '1.00', '7.50', '0.00', '0.00', '5.00', '0.00', '2.00', '5.00', '2.00', '2.00', '5.00', '0.00', '5.00']",48.0
015893bc-7c7c-4dc1-afc1-8b19cb772061,16137,284,7,"['3.00', '3.00', '3.00', '0.00', '0.00', '0.00', '0.00']",9.0
f6d342f1-de55-405d-95ad-066d61b4cc0b,8572,142,5,"['2.90', '2.90', '2.90', '2.90', '2.90']",14.5
8c0802a3-6f2b-43e0-94b0-bfdbae2ac76a,12481,179,5,"['2.00', '2.00', '2.00', '2.00', '2.00']",10.0
673c46d1-2ba6-4193-830f-3c9f83e862f2,16649,195,5,"['0.00', '3.00', '3.00', '3.00', '3.00']",12.0
977fe5c2-d6b1-417a-a57d-4d7503aae4ba,7769,184,5,"['2.40', '2.40', '2.40', '2.40', '0.30']",9.9
99e466b2-e4f7-4f2a-9ef9-52fa1cc72640,6929,86,4,"['2.40', '2.40', '2.40', '2.40']",9.6
dadb0f77-f0df-460a-870f-16acf76d64ac,14142,237,8,"['2.00', '2.90', '2.90', '2.40', '2.40', '2.40', '2.40', '2.40']",19.8
a4d4aa18-01ad-4c6c-b2a1-52dfc17825ae,42822,101,3,"['5.00', '0.30', '0.30']",5.6
6d6e0cfc-c9b2-485f-bb8e-f9aa75a7a5eb,38337,283,5,"['5.00', '0.00', '0.00', '0.00', '0.00']",5.0
40fa409d-a223-4ee2-a8e4-57bd7c07789d,8055,117,4,"['2.40', '2.40', '2.40', '0.00']",7.2
bf21bf75-e153-4ca7-aba8-f4cbb7cb1a48,6830,144,4,"['2.40', '2.40', '2.40', '2.40']",9.6
b5ef1fc3-1a7b-44a5-9065-68f7972f61ec,15212,183,3,"['3.00', '3.00', '3.80']",9.8
ae5d22e9-3bd0-4d00-bbe2-0d645cde43f6,96927,902,9,"['7.50', '5.00', '5.00', '7.50', '5.00', '0.00', '5.00', '5.00', '5.00']",45.0
011fff16-362b-4213-9efd-efd2d84cb570,8628,131,5,"['2.40', '2.00', '2.00', '2.90', '2.40']",11.7
eb71a2ba-8e78-4d99-ac80-dbdb17e5d708,7644,155,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
9bfdef48-06db-43de-893f-4d3f09e1f469,7762,171,5,"['1.00', '2.40', '2.40', '2.40', '2.40']",10.6
c217fabc-b57e-4146-bff5-1000c90389c1,15595,255,8,"['1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00']",8.0
92847028-d2ee-4991-9149-af06fe8b4828,7046,142,4,"['2.40', '2.40', '2.40', '2.40']",9.6
21ee857f-550a-4e01-92b7-2ee1f7b98a29,8198,146,4,"['2.40', '2.40', '2.40', '2.40']",9.6
5b3c8b0c-d43e-4204-bb72-d3e40e01f5fb,8144,101,4,"['2.90', '2.90', '2.90', '2.90']",11.6
8390675c-f007-4a64-8419-8dac66b41db3,8361,98,4,"['2.40', '2.40', '2.40', '2.40']",9.6
e092f518-ee79-4243-9d97-2c7a2698707a,39989,328,4,"['3.00', '10.00', '2.00', '2.00']",17.0
a2ce930b-4504-4dd4-9307-b9f61ad18a1c,6767,140,4,"['2.40', '2.40', '2.40', '2.40']",9.6
77511f16-15cf-42e6-b72e-ae890f5ee76f,6571,126,4,"['2.40', '2.40', '2.40', '2.40']",9.6
bc0ff412-68b7-4f6d-9e72-badad8310c11,34193,278,4,"['7.50', '3.00', '7.50', '2.00']",20.0
4d71dd72-8c15-47bb-824b-5f4ce855f36a,8662,201,5,"['2.90', '2.90', '2.90', '2.90', '2.90']",14.5
